;FECHA;ENERGIA
309;03/03/2020;423079.6774
310;04/03/2020;424727.303
311;05/03/2020;429937.0398
312;06/03/2020;424597.2964
313;07/03/2020;343715.7112
314;08/03/2020;256844.2621
315;09/03/2020;399577.1848
316;10/03/2020;411602.1818
317;11/03/2020;408593.8775
318;12/03/2020;416323.2793
319;13/03/2020;405705.3455
320;14/03/2020;336423.6478
321;15/03/2020;273774.0813
322;16/03/2020;398854.4896
323;17/03/2020;395103.3063
324;18/03/2020;397687.7151
325;19/03/2020;390084.304
326;20/03/2020;291962.8719
327;21/03/2020;236584.5494
328;22/03/2020;215519.943
329;23/03/2020;242594.7491
330;24/03/2020;278313.7585
331;25/03/2020;273753.0347
332;26/03/2020;272196.5897
333;27/03/2020;256498.1983
334;28/03/2020;232525.964
335;29/03/2020;223130.03
336;30/03/2020;258902.1676
337;31/03/2020;249950.317
338;01/04/2020;249969.9116
339;02/04/2020;247602.7425
340;03/04/2020;254233.1994
341;04/04/2020;235415.4516
342;05/04/2020;213571.5938
343;06/04/2020;250847.9139
344;07/04/2020;253476.1047
345;08/04/2020;253654.5687
346;09/04/2020;220275.0564
347;10/04/2020;207664.6836
348;11/04/2020;217956.4976
349;12/04/2020;203549.2223
350;13/04/2020;256865.947
351;14/04/2020;268788.575
352;15/04/2020;271041.9699
353;16/04/2020;277435.8058
354;17/04/2020;274395.6078
355;18/04/2020;240750.1056
356;19/04/2020;209173.3925
357;20/04/2020;267619.5821
358;21/04/2020;272385.5854
359;22/04/2020;272958.4152
360;23/04/2020;275507.2042
361;24/04/2020;270393.1794
362;25/04/2020;249092.2192
363;26/04/2020;215923.7158
364;27/04/2020;278321.4301
365;28/04/2020;290053.7184
366;29/04/2020;292314.7932
367;30/04/2020;293121.1271
368;01/05/2020;239720.9771
369;02/05/2020;255176.7115
370;03/05/2020;219344.6809
371;04/05/2020;290283.7077
372;05/05/2020;302571.5565
373;06/05/2020;304397.5868
374;07/05/2020;304267.9135
375;08/05/2020;299947.1609
376;09/05/2020;269871.2384
377;10/05/2020;220696.8254
378;11/05/2020;297395.9299
379;12/05/2020;313388.362
380;13/05/2020;308144.1371
381;14/05/2020;315599.8944
382;15/05/2020;318862.3206
383;16/05/2020;277891.2393
384;17/05/2020;222171.7697
385;18/05/2020;300399.3962
386;19/05/2020;307465.4342
387;20/05/2020;317086.3766
388;21/05/2020;322494.6488
389;22/05/2020;315843.7729
390;23/05/2020;282869.919
391;24/05/2020;229859.9989
392;25/05/2020;241146.0663
393;26/05/2020;318799.4244
394;27/05/2020;310850.6978
395;28/05/2020;322435.9869
396;29/05/2020;313574.2102
397;30/05/2020;266623.1369
398;31/05/2020;221240.8968
399;01/06/2020;304982.983
400;02/06/2020;313220.7759
401;03/06/2020;307371.1732
402;04/06/2020;318402.2727
403;05/06/2020;318319.4084
404;06/06/2020;278647.1863
405;07/06/2020;222418.8943
406;08/06/2020;322227.7528
407;09/06/2020;332246.7873
408;10/06/2020;330917.9053
409;11/06/2020;330055.7922
410;12/06/2020;328832.1875
411;13/06/2020;290860.7368
412;14/06/2020;231237.4632
413;15/06/2020;236500.1329
414;16/06/2020;325013.9347
415;17/06/2020;337126.9033
416;18/06/2020;339565.6368
417;19/06/2020;340295.9246
418;20/06/2020;296987.9009
419;21/06/2020;230911.8139
420;22/06/2020;252502.6286
421;23/06/2020;339150.5004
422;24/06/2020;342666.4497
423;25/06/2020;350547.9955
424;26/06/2020;348429.827
425;27/06/2020;303132.983
426;28/06/2020;232863.5075
427;29/06/2020;249801.5052
428;30/06/2020;345440.9924
429;01/07/2020;353181.54
430;02/07/2020;357025.6398
431;03/07/2020;353709.1768
432;04/07/2020;306690.1112
433;05/07/2020;233916.7617
434;06/07/2020;335762.5585
435;07/07/2020;345190.892
436;08/07/2020;351014.1417
437;09/07/2020;353927.0314
438;10/07/2020;347496.826
439;11/07/2020;292605.2414
440;12/07/2020;230325.1178
441;13/07/2020;339166.9551
442;14/07/2020;351381.9678
443;15/07/2020;362153.0471
444;16/07/2020;361665.2787
445;17/07/2020;356471.0773
446;18/07/2020;312416.3857
447;19/07/2020;248652.9032
448;20/07/2020;264027.2858
449;21/07/2020;359108.4144
450;22/07/2020;366983.4277
451;23/07/2020;347706.9052
452;24/07/2020;335985.4641
453;25/07/2020;295397.1104
454;26/07/2020;236979.2704
455;27/07/2020;344316.9287
456;28/07/2020;366205.0097
457;29/07/2020;366530.624
458;30/07/2020;359764.8347
459;31/07/2020;354996.9993
460;01/08/2020;316464.495
461;02/08/2020;250168.2818
462;03/08/2020;356130.6124
463;04/08/2020;378296.0376
464;05/08/2020;378227.8622
465;06/08/2020;371647.0218
466;07/08/2020;288003.8164
467;08/08/2020;308126.1441
468;09/08/2020;251841.1802
469;10/08/2020;365580.3936
470;11/08/2020;376290.9399
471;12/08/2020;382374.0504
472;13/08/2020;378071.8047
473;14/08/2020;371843.5464
474;15/08/2020;313953.0933
475;16/08/2020;239782.6399
476;17/08/2020;254807.2846
477;18/08/2020;370587.8333
478;19/08/2020;374100.3832
479;20/08/2020;379553.9926
480;21/08/2020;382140.0341
481;22/08/2020;325176.0501
482;23/08/2020;256874.8751
483;24/08/2020;364328.4359
484;25/08/2020;379080.552
485;26/08/2020;381877.3989
486;27/08/2020;381522.0617
487;28/08/2020;385566.2217
488;29/08/2020;334853.6393
489;30/08/2020;251102.406
490;31/08/2020;371552.0126
491;01/09/2020;386174.1459
492;02/09/2020;391353.3986
493;03/09/2020;390310.5787
494;04/09/2020;381582.4913
495;05/09/2020;328613.3169
496;06/09/2020;254652.9643
497;07/09/2020;363591.3056
498;08/09/2020;369470.2493
